classname,m1,m2,m3,m4,m5,m6,m7
air-jordan,0.0,0.004823016220438328,0.0,0.0,1.388254783060391e-09,0.9979944032771965,0.002156526012203775
air-jordan,0.04182003516466084,0.023907099967986525,1.0402351442804814e-06,0.0006688622024976394,1.7121537682895165e-08,0.9978478134838086,0.002156497037586184
air-jordan,0.030986704718963417,0.09195567120611606,3.857219490995473e-07,0.00013723749670571807,0.0,0.9979328765081215,0.002156526906841629
air-jordan,0.4632972722163455,0.1735237987188047,0.12125217470876587,0.018160342512342324,0.00036612236839437797,0.996344027386439,0.004039748920042001
air-jordan,0.456877739825047,0.009344169432786329,0.16862931517493326,0.2575970587655799,0.05520072884688026,0.9860099864856819,0.047904677125620035
air-jordan,0.47156778977293,0.12795369139007623,0.17763440407304074,0.1352413953130378,3.861450813292596e-05,0.9451753588819969,0.052368590213104374
air-jordan,0.03683972816143441,0.028006801620553152,1.2899307137867607e-06,5.906759612185081e-06,1.1663448901618375e-09,0.9979975804533879,0.0021565259028157348
air-jordan,0.01501043310578087,0.0009192967947045658,1.3559857040943722e-06,0.002624515224950546,1.6574315081951276e-07,0.9984185369727752,0.0021566597390485437
air-jordan,1.0,1.0,1.0,1.0,1.0,0.0,1.0
air-jordan,0.47813687508130676,0.10149585492628636,0.18434556337360902,0.1432986247973205,0.00606594898221255,0.9450818395134067,0.05636062355794008
boeing,0.03055208442416758,0.04124613979836721,0.0009778014020949773,0.0039544950244702086,0.06626793483375243,0.04864775523018791,0.9998480231767801
boeing,0.6166425775041955,0.4052220714861196,0.2824797801544765,0.03870122786456667,0.055714847846248174,0.051531081538390415,1.0
boeing,0.0,0.06909097730330223,0.0,0.0,0.06625190661423576,0.04786298933476127,0.9998393123029229
boeing,0.7787377782932629,0.6070891199653756,0.48123962731776676,0.3794939047553172,0.0,0.2902087052630417,0.7143397616747623
boeing,0.7609516088897734,1.0,0.4434424975404311,1.0,1.0,1.0,0.0
boeing,0.01567344482462715,0.0,1.931583800485283e-05,0.0013377722676071338,0.06625163038248137,0.04784797238701478,0.999839678989607
boeing,0.22840149091946024,0.4650183067934145,0.07712736352609803,0.45414504475109746,0.2857251800781737,0.2645349703588343,0.9811056416007814
boeing,1.0,0.5416025908546744,1.0,0.13194530843292726,0.05972556002725113,0.0,0.9145058553940014
boeing,0.19104619597801437,0.6757174285953577,3.796480791498502e-05,6.547235184901859e-05,0.06625190554078979,0.04783848607855673,0.9998393226244588
boeing,0.14871035163176982,0.5086809823203426,4.414648657082472e-05,8.263914880443487e-05,0.0662519002482051,0.04781988858205771,0.9998392994435864
boeing,0.1587287330038508,0.56624050194287,3.704635714816012e-05,5.071263532618354e-05,0.066251900245027,0.04782255305672714,0.9998393063772198
aerosmith,0.4705651043945188,0.6572893385158289,1.0,0.9037996737852307,0.0,0.0,0.0
aerosmith,0.406067775736242,0.5568851890995101,0.016653210766637255,0.007439003088338793,0.6943199657639724,0.828948524512341,0.3424629800650483
aerosmith,0.4306610920679362,0.7101202430852908,0.6662856965776983,0.5175383453397969,0.4234303583395727,0.2983731812933724,0.33022456770932335
aerosmith,0.013913755996170353,0.026046746114497664,2.5353273650549667e-06,0.002026065903230093,0.6943286413693209,0.832000441368148,0.34238488310540105
aerosmith,0.472702318240208,0.6940046234725331,0.36917958226043196,0.7844431803576055,1.0,1.0,0.1104785397600096
